Localidade,Name,Level
Shaded Castle,Elemer of the Briar,07_Lvl 80-100
Shaded Castle,"Maleigh Marais, Shaded Castle Castelan",07_Lvl 80-100
Siofra and Nokron,Valiant Gargoyle Duo,05_Lvl 60-70
Siofra and Nokron,Ancestor Spirit,05_Lvl 60-70
Siofra and Nokron,Dragonkin Soldier,05_Lvl 60-70
Siofra and Nokron,Regal Ancestor Spirit,05_Lvl 60-70
Siofra and Nokron,Mimic Tear,05_Lvl 60-70
Stormveil Castle,"Margit, the Fell Omen",01_Lvl 01 - 20
Stormveil Castle,Godrick the Grafted,01_Lvl 01 - 20
Stormveil Castle,Ulcerated Tree Spirit,01_Lvl 01 - 20
Volcano Manor,2x Abductor Virgin,07_Lvl 80-100
Volcano Manor,Godskin Noble,07_Lvl 80-100
Volcano Manor,Tanith's Crucible Knight,07_Lvl 80-100
Volcano Manor,"Rykard, Lorf of Blasphemy",07_Lvl 80-100
Volcano Manor,Inquisitor Ghiza,07_Lvl 80-100
